,jia,jin,zhuan,char
209,0,0,1,撅
210,0,0,1,眈
211,0,0,1,裹
212,0,0,1,醵
213,0,0,1,鼙
214,0,0,1,茯
215,0,6,1,皮
216,0,0,1,滃
217,0,0,1,序
218,0,11,1,愧
219,0,0,1,罅
220,0,3,1,堂
221,4,0,1,昏
222,0,0,1,沔
223,0,0,1,英
224,0,0,1,赛
225,0,0,1,蒇
226,6,15,1,秦
227,0,0,1,迸
228,0,0,1,谠
229,40,13,1,古
230,0,0,1,伉
231,0,0,1,涵
232,1,0,1,洒
233,1,0,1,端
234,0,0,1,芃
235,0,1,1,猎
236,0,0,1,淤
237,0,0,1,抱
238,0,0,1,柿
239,0,0,1,洿
240,6,3,1,彻
241,36,0,0,爯
242,0,0,1,坳
243,0,0,1,聂
244,0,0,1,郝
245,0,0,1,蜎
246,0,0,1,驸
247,0,0,1,浦
248,0,2,1,鳏
249,0,0,1,靴
250,0,0,1,涣
251,0,0,1,骤
252,52,42,1,生
253,0,0,1,贿
254,0,0,1,摛
255,1,2,1,鄙
256,11,13,1,良
257,0,0,1,胯
258,0,0,1,蹈
259,0,0,1,縻
260,0,7,1,苟
261,0,0,1,稞
262,0,0,1,岂
263,0,0,1,逡
264,0,1,1,也
265,0,1,1,罪
266,0,0,1,殖
267,0,0,1,阏
268,0,0,1,骇
269,0,0,1,盲
270,0,0,1,剿
271,0,1,1,仪
272,5,0,1,兔
273,0,9,1,府
274,0,0,1,顷
275,2,7,1,亟
276,0,0,1,瘼
277,0,0,1,裙
278,1,0,0,箙
279,0,2,1,邓
280,0,0,1,掀
281,0,0,1,痨
282,19,69,1,小
283,0,0,1,莠
284,0,0,1,颇
285,0,1,1,妄
286,0,5,1,养
287,0,0,1,谜
288,31,36,1,卫
289,0,0,1,呷
290,1,0,1,飞
291,0,0,1,脂
292,0,0,1,挛
293,0,0,1,疴
294,0,0,1,缨
295,0,0,1,咬
296,0,0,1,瓿
297,0,0,1,苄
298,0,0,1,冤
299,25,24,1,贮
300,0,3,1,陲
301,1,0,1,敝
302,0,1,1,请
303,0,0,1,改
304,0,0,1,灈
305,36,22,1,即
306,0,0,1,邯
307,0,0,1,睚
308,0,0,1,琟
309,0,0,1,型
310,0,0,1,诮
311,0,1,1,空
312,0,0,1,熇
313,0,1,1,卟
314,0,0,1,眊
315,0,1,1,均
316,0,0,1,腐
317,0,0,1,檠
318,0,0,1,骎
319,23,0,0,罗
320,0,11,1,鲜
321,0,1,1,祸
322,2,1,1,麇
323,0,0,1,剽
324,0,0,1,绰
325,1,5,1,作
326,0,0,1,啼
327,0,0,1,病
328,0,0,1,柖
329,0,1,1,贺
330,0,0,1,鹊
331,0,0,1,剟
332,0,1,1,怠
333,1,0,1,竟
334,0,0,1,弸
335,0,0,1,铮
336,0,1,1,顶
337,0,0,1,劈
338,0,0,1,仰
339,0,0,1,谚
340,0,0,1,芽
341,0,1,1,仑
342,0,0,1,蕲
343,0,1,1,胃
344,140,32,1,多
345,0,0,1,玘
346,0,1,1,梅
347,1,0,0,宀
348,8,4,1,石
349,0,0,1,植
350,0,0,1,皦
351,1,1,1,龚
352,41,1,1,仲
353,0,0,1,孛
354,2,14,1,折
355,0,0,1,丛
356,0,1,1,巩
357,0,6,1,俗
358,60,16,1,高
359,0,0,1,恣
360,22,3,1,疑
361,69,17,1,亦
362,0,0,1,杻
363,0,0,1,柔
364,0,0,1,厦
365,0,0,1,芝
366,0,0,1,烙
367,0,0,1,龈
368,0,0,1,筹
369,0,0,1,斩
370,0,0,1,欺
371,0,0,1,跋
372,0,0,1,枫
373,0,0,1,伫
374,0,1,1,淑
375,0,0,1,嵌
376,0,0,1,琤
377,0,0,1,纻
378,0,0,1,笱
379,0,0,1,劬
380,0,1,1,蛮
381,0,0,1,蛹
382,0,0,1,悃
383,0,0,1,璥
384,0,0,1,珪
385,0,0,1,跌
386,0,0,1,袖
387,1,1,1,濯
388,0,0,1,彳
389,0,0,1,牾
390,0,0,1,谛
391,81,20,1,东
392,0,0,1,昨
393,10,1,1,圉
394,0,0,1,魇
395,0,0,1,诊
396,1,0,0,囡
397,0,0,1,杈
398,0,0,1,灵
399,0,0,1,崖
400,42,15,1,匕
401,0,3,1,布
402,4,67,1,鬲
403,0,0,1,鞘
404,2,0,1,臬
405,0,0,1,痕
406,39,37,1,奠
407,0,0,1,皛
408,0,0,1,虓
409,1,0,1,栅
410,215,4,1,羌
411,0,0,1,渗
412,0,1,1,枪
413,0,1,1,郐
414,17,0,1,钻
415,0,0,1,墨
416,6,8,1,买
417,0,0,1,鄯
418,0,1,1,狱
419,0,0,1,榑
420,0,0,1,倚
421,0,1,1,诒
422,0,0,1,皑
423,1,24,1,有
424,0,0,1,邸
425,0,0,1,桡
426,5,0,1,桑
427,0,0,1,傍
428,0,0,1,约
429,0,0,1,唳
430,0,0,1,振
431,0,0,1,迤
432,0,0,1,娇
433,11,0,0,焚
434,0,0,1,闷
435,0,5,1,发
436,0,0,1,赙
437,0,1,1,铊
438,0,2,0,撸
439,0,0,1,玭
440,0,3,1,翼
441,0,1,1,瑾
442,1,1,1,涂
443,0,0,1,翯
444,0,0,1,吒
445,0,1,1,萆
446,0,0,1,囚
447,0,0,1,伴
448,0,0,1,损
449,4,2,1,历
